screen_names,texts
trescomagerifm,"RT @LuisEsMiSombra: Bo, mucho indignado por ahí con la marcha de la diversidad y el peligro de propagar el covid-19 pero pocas ganas de ind…"
mizugarra,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
claudia13726295,"@salocinuy @MaryEstherCurb1 @MSPUruguay @DrDanielSalinas @sinae_oficial No busques explicación ahora , espera 14 dí… https://t.co/n2U2zkflX6"
pablo23,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
latiagaga,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
marialavaggi,"@OkCiriaca La Marcha de la diversidad sin tapabocas estuvo mal, los brasileros yendo a los free shops de Rivera de… https://t.co/UB7JN918qr"
WEnriqueFer,"👉🏻 Misa en la Rural del Prado.
👉🏻Marcha de Cierre de la Campaña del Frent... digo!!! De La Diversidad.
👉🏻Colas para… https://t.co/pGwOnbrz0V"
KevinPM12,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
karinegomez7,"RT @luisilinaa: La rural del prado estuvo llena de protocolos, ni siquiera es comparable, pero pedirte coherencia es exigirte demasiado"
lolycafe,"RT @M_modernel: “Critican las aglomeraciones y no critican la Rural del prado”.

La rural del prado: https://t.co/OMYCnvA28q"
antonio47074983,@futbolpormunoz Bueno estas colas hace tiempo hay varios  lugares desde que empezó la pandemia y si autorizaron cas… https://t.co/4I8lsy4FQs
CantiValee,"RT @AlfTuitea: Para la próxima ya sabemos, que las marchas se hagan en la rural del prado, porque ahí es sabido que no se contagia la gente…"
Viruviru20,"RT @StellaValverde: @Subrayado Ni que hablar por tres cruces, la rural del prado, los ómnibus hasta la manija, los cuadros de fútbol que va…"
